事業所名,区,所在地,営業時間,TEL,PCR検査等,抗原定性検査,備考
ウエルシア薬局練馬向山店,練馬区,練馬区向山4-34-3,"月〜土　9:00〜13:30/14:30〜20:00
日　休み",03-3577-8501,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬平和台店,練馬区,練馬区平和台4丁目26-8 ザ・グランディール平和台? 1階,"月〜土　9:00〜13:00/14:00〜19:00
日　休み",03-6906-4131,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬早宮店,練馬区,練馬区早宮4-37-2,"月〜土　9:00〜20:00
日　休み",03-5946-3808,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬東大泉店,練馬区,練馬区東大泉6-49-2 グランフォンテ大泉学園,"月火水金　9:00〜19:00
木　9:00〜14:00/15:00〜19:00
土　9:00〜14:00/15:00〜17:00
日　休み",03-5905-7093,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬桜台店,練馬区,練馬区桜台1-28-8,"月〜土　9:00〜13:30/14:30〜19:00
日　休み",03-5912-5500,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬石神井店,練馬区,練馬区石神井町6-15-8,"月〜土　9:00〜20:00
日　休み",03-5923-1180,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬谷原店,練馬区,練馬区谷原5-4-2,"月〜土　10:00〜13:00/14:00〜19:00
日　休み",03-5910-3370,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬豊玉店,練馬区,練馬区豊玉北6-1-2 ディアマークスキャピタルタワー,"月〜日　9:00〜13:30/14:30〜19:00
祝　休み",03-5912-5808,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬高松店,練馬区,練馬区高松6-9-4,"月〜土　9:00〜20:00
日祝　10:00〜14:00/15:00〜20:00
無休",03-5923-0262,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局豊玉目白通り店,練馬区,練馬区豊玉北5-24-2,"月〜日（祝含む）　9:00〜20:00
無休",03-5946-3727,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ハックドラッグピーコック高野台薬局,練馬区,練馬区高野台1-7-17 ピーコック高野台1F,"月〜土　9:00〜19:00
日　休み",03-5910-7789,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立加平店,足立区,足立区加平3-4-16,"月〜土　9:00〜20:00
日祝　9:00〜13:00/14:00〜17:00
無休",03-5613-1831,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立加賀店,足立区,足立区加賀2-10-1,"月〜土　9:00〜20:00
日祝　休み",03-5839-3590,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立南花畑店,足立区,足立区南花畑2-45-2,"月〜土　9:00〜20:00
日祝　10:00〜14:00/15:00〜19:00
無休",03-5851-2831,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立島根店,足立区,足立区島根3-20-17,"月〜土　9:00〜20:00
日　休み",03-5831-2840,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立弘道店,足立区,足立区弘道2-18-7,"月〜土　10:00〜14:00/15:00〜19:00
日　休み",03-5845-3552,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立新田店,足立区,足立区新田2-6-15,"月〜土　9:00〜13:00/14:00〜19:00
日　休み",03-5959-1255,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立江北店,足立区,足立区江北1-7-15,"月〜日（祝含む）　9:00〜20:00
無休",03-5839-6341,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立竹の塚１丁目店,足立区,足立区竹ノ塚1-13-10,"月〜土　10:00〜20:00
日　休み",03-5831-3227,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立竹の塚店,足立区,足立区竹ノ塚5-24-11,"月〜土　9:00〜19:30
日　休み",03-5831-2341,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立西新井店,足立区,足立区西新井4-32-14,"月〜土　9:00〜19:00
日　9:00〜13:00
無休",03-5838-0775,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局足立青井店,足立区,足立区青井2-20-14,"月〜土　9:00〜19:00
日　休み",03-5845-1660,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局亀有駅前店,葛飾区,葛飾区亀有三丁目31番4号 1階,"月〜土　10:00〜14:00/15:00〜19:00
日　休み",03-3602-8780,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局葛飾亀有店　店舗内　及び　ドライブスルー対応,葛飾区,葛飾区亀有2-16-1,"月〜土　9:00〜20:00
日　9:00〜19:00
無休",03-3838-6998,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局葛飾奥戸店　店舗内　及び　ドライブスルー対応,葛飾区,葛飾区奥戸5-5-1,"月〜土　9:00〜19:00
日　9:00〜13:00
無休",03-5672-4770,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局葛飾東立石店　店舗内　及び　ドライブスルー対応,葛飾区,葛飾区東立石一丁目12番9号,"月〜土　10:00〜14:00/15:00〜19:00
日　休み",03-5654-2126,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局葛飾水元店　店舗内　及び　ドライブスルー対応,葛飾区,葛飾区水元4-10-23,"月〜日（祝含む）　9:00〜20:00
無休",03-3826-4461,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
